Date,PX_LAST
10/31/2002,885.76
9/30/2002,815.28
8/30/2002,916.07
7/31/2002,911.62
6/28/2002,989.81
5/31/2002,1067.14
4/30/2002,1076.92
3/29/2002,1147.39
2/28/2002,1106.73
1/31/2002,1130.21
